commonName,taxon,status,recommendation,reviewDate,url,notes
Dusky gopher frog,Amphibian,Endangered,No Change,2015-09-09,/pdf/five-year-reviews/dusky-gopher-frog.pdf,
Golden coqui,Amphibian,Threatened,No Change,2013-09-30,/pdf/five-year-reviews/golden-coqui.pdf,
Flatwoods salamander,Amphibian,Threatened,,2009-02-10,,
Red Hills salamander,Amphibian,Threatened,No Change,2013-05-16,/pdf/five-year-reviews/red-hills-salamander.pdf,
Reticulated flatwoods salamander,Amphibian,Endangered,No Change,2015-08-05,/pdf/five-year-reviews/reticulated-flatwoods-salamander.pdf,
Frosted flatwoods salamander,Amphibian,Threatened,,,,
Puerto Rican crested toad,Amphibian,Threatened,No Change,2016-06-21,/pdf/five-year-reviews/puerto-rican-crested-toad.pdf,
Guajón or Puerto Rican demon,Amphibian,Threatened,No Change,2011-04-20,/pdf/five-year-reviews/guajon.pdf,
St. Croix ground lizard,Amphibian,Endangered,No Change,2013-08-21,/pdf/five-year-reviews/st-croix-ground-lizard.pdf,
Interior least tern,Bird,Endangered,Remove from Endangered Species List,2013-10-24,/pdf/five-year-reviews/interior-least-tern.pdf,
Bachman's warbler,Bird,Endangered,No Change,2007-02-09,/pdf/five-year-reviews/bachmans-warbler-2007.pdf,
Bachman's warbler,Bird,Endangered,No Change,2015-05-06,/pdf/five-year-reviews/bachmans-warbler-2015.pdf,
Cahow or Bermuda petrel,Bird,Endangered,No Change,2013-10-30,/pdf/five-year-reviews/cahow.pdf,
Cape Sable seaside sparrow,Bird,Endangered,No Change,2010-08-18,/pdf/five-year-reviews/cape-sable-seaside-sparrow.pdf,
Everglades snail kite,Bird,Endangered,No Change,2007-09-27,/pdf/five-year-reviews/everglades-snail-kite.pdf,*
Florida grasshopper sparrow,Bird,Endangered,No Change,2008-09-30,/pdf/five-year-reviews/florida-grasshopper-sparrow.pdf,
Florida scrub-jay,Bird,Threatened,No Change,2007-09-28,/pdf/five-year-reviews/florida-scrub-jay.pdf,
Northern crested caracara,Bird,Threatened,No Change,2009-08-14,/pdf/five-year-reviews/audubons-crested-caracara.pdf,
Puerto Rican broad-winged hawk,Bird,Endangered,No Change,2010-10-28,/pdf/five-year-reviews/puerto-rican-broad-winged-hawk.pdf,
Puerto Rican nightjar,Bird,Endangered,No Change,2012-08-16,/pdf/five-year-reviews/puerto-rican-nightjar.pdf,
Puerto Rican parrot,Bird,Endangered,No Change,2008-09-26,/pdf/five-year-reviews/puerto-rican-parrot-2008.pdf,
Puerto Rican parrot,Bird,Endangered,No Change,2017-08-01,/pdf/five-year-reviews/puerto-rican-parrot-2017.pdf,
Puerto Rican plain pigeon,Bird,Endangered,No Change,2011-11-22,/pdf/five-year-reviews/puerto-rican-plain-pigeon.pdf,
Red-cockaded woodpecker,Bird,Endangered,No Change,2006-10-02,/pdf/five-year-reviews/red-cockaded-woodpecker.pdf,
White necked crow,Bird,Endangered,No Change,2015-08-24,/pdf/five-year-reviews/white-necked-crow.pdf,
Wood stork,Bird,Endangered,Downlist from Endangered to Threatened,2007-09-21,/pdf/five-year-reviews/wood-stork.pdf,**
Yellow-shouldered blackbird,Bird,Endangered,No Change,2011-02-02,/pdf/five-year-reviews/yellow-shouldered-blackbird.pdf,
Benton County cave crawfish,Crustacean,Endangered,No Change,2013-05-10,/pdf/five-year-reviews/benton-county-cave-crayfish.pdf,
Hell Creek cave crayfish,Crustacean,Endangered,No Change,2012-08-15,/pdf/five-year-reviews/hell-creek-cave-crayfish.pdf,
Kentucky cave shrimp,Crustacean,Endangered,No Change,2010-04-30,/pdf/five-year-reviews/kentucky-cave-shrimp.pdf,
