type,species,docket,peerReviewReportStatus,fiscalYear,completed fiscalYear,peerReviewPlan,peerReviewDocuments,ssaReport,notes,,,,,,,,,,,,,,,,,
Species Status Assessment,Fat threeridge,,Planned,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116213,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Puerto Rican Boa,,Incomplete,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116213,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Lowland loosestrife,,Planned,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116214,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Edison's ascyrum,,Planned,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116214,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Meadow joint-vetch,,Planned,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116214,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Cumberland moccasinshell,,Planned,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116214,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Tennessee clubshell,,Planned,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116214,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Tennessee pigtoe,,Planned,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116214,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Georgia bully (swamp buckthorn),,Planned,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116214,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Oblong Rocksnail,,Planned,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116214,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Pascagoula map turtle ,,Incomplete,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116214,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Pearl River map turtle,,Incomplete,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116214,,,,,,,,,,,,,,,,,,,,
Designation of Critical Habitat,Pearl darter,,Planned,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116182,,,No SSA report,,,,,,,,,,,,,,,,,
Designation of Critical Habitat,Miami tiger beetle,,Planned,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116179,,,No SSA report,,,,,,,,,,,,,,,,,
Designation of Critical Habitat,Louisiana pinesnake,,Planned,2021,,https://ecos.fws.gov/ServCat/Reference/Profile/116183,,,No SSA report,,,,,,,,,,,,,,,,,
Designation of Critical Habitat,"Big Pine partridge pea, Wedge spurge, Sand flax, Blodgett's silverbush",,Planned,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116180,,,No SSA report,,,,,,,,,,,,,,,,,
Designation of Critical Habitat,"Everglades bully, Florida pineland crabgrass, pineland sandmat, Florida prairie-clover",,Planned,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116181,,,No SSA report,,,,,,,,,,,,,,,,,
Designation of Critical Habitat,Florida bonneted bat,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116178,,,No SSA report,,,,,,,,,,,,,,,,,
Designation of Critical Habitat,Florida Bristle Fern,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/115330,,,No SSA report,,,,,,,,,,,,,,,,,
Designation of Critical Habitat,Suwannee moccasinshell,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116177,,,No SSA report,,,,,,,,,,,,,,,,,
Delist/Downlist,Cumberland Sandwort,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116194,,,No SSA report,,,,,,,,,,,,,,,,,
Delist/Downlist,Interior Least Tern,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116194,,,No SSA report,,,,,,,,,,,,,,,,,
Delist/Downlist,Eugenia woodburyana,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116194,,,No SSA report,,,,,,,,,,,,,,,,,
Delist/Downlist,Smooth coneflower,,Planned,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116194,,,No SSA report,,,,,,,,,,,,,,,,,
Delist/Downlist,Palo de rosa,,Planned,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116194,,,No SSA report,,,,,,,,,,,,,,,,,
Delist/Downlist,Adiantum vivesii,,Planned,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116219,,,No SSA report,,,,,,,,,,,,,,,,,
Delist/Downlist,Mitracarpus polycladus,,Planned,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116194,,,No SSA report,,,,,,,,,,,,,,,,,
Delist/Downlist,Snail darter,,Planned,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116194,,,No SSA report,,,,,,,,,,,,,,,,,
Species Status Assessment,Wood Stork,,Planned,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116191,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Southern elktoe,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116188,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Relict darter,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/115018,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Key ringneck snake,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116188,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Rimrock crowned snake,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116188,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Alligator snapping turtle (Macrochelys temminckii),,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116188,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Alligator snapping turtle (Macrochelys suwanniensis),,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116188,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Black Creek crayfish,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116188,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Canoe Creek clubshell,FWS-R4-ES-2020-0078,Complete,2020,2021,https://ecos.fws.gov/ServCat/Reference/Profile/109509,,https://ecos.fws.gov/ServCat/DownloadFile/187811,,,,,,,,,,,,,,,,,,
Species Status Assessment,Frecklebelly madtom,FWS-R4-ES-2020-0058,Complete,2020,2021,https://ecos.fws.gov/ServCat/Reference/Profile/116188,,https://ecos.fws.gov/ServCat/DownloadFile/188238,,,,,,,,,,,,,,,,,,
Species Status Assessment,Sickle darter,FWS-R4-ES-2020-0094,Complete,2020,2021,https://ecos.fws.gov/ServCat/Reference/Profile/116188,,https://ecos.fws.gov/ServCat/DownloadFile/188184,,,,,,,,,,,,,,,,,,
Species Status Assessment,Florida panther,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/116191,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Red Cockaded Woodpecker,FWS-R4-ES-2019-0018,Complete,2019,2021,https://ecos.fws.gov/ServCat/Reference/Profile/116184,,https://ecos.fws.gov/ServCat/DownloadFile/188805,,,,,,,,,,,,,,,,,,
Species Status Assessment,Southeastern beach mouse,,Incomplete,2020,,https://ecos.fws.gov/ServCat/Reference/Profile/104822,,,,,,,,,,,,,,,,,,,,
Species Status Assessment,Okaloosa darter,,Incomplete,2019,,https://ecos.fws.gov/ServCat/Reference/Profile/116191,,,,,,,,,,,,,,,,,,,,
Peer Review,Florida grasshopper sparrow,,Complete,2019,,,https://ecos.fws.gov/ServCat/Reference/Profile/110891,,Peer review plan for Florida Grasshopper Sparrow Disease Risk Analysis Workshop Report,,,,,,,,,,,,,,,,,
Recovery Plan Revision,Amber darter,84 FR 38291,Complete,2019,,APG-peer-review-plan.pdf,https://www.federalregister.gov/documents/2019/08/06/2019-16750/endangered-and-threatened-wildlife-and-plants-21-draft-recovery-plan-revisions-for-43-southeastern,,No SSA report,,,,,,,,,,,,,,,,,
