office,name,type,508 Compliant,url,year,programs,keywords,state
,Robust Redhorse: Candidate Conservation Agreement with Assurances,Agreement,,agreement/candidate-conservation-agreement-with-assurances/robust-redhorse.pdf,2002,,,
,Spring Pygmy Sunfish: Candidate Conservation Agreement with Assurances,Agreement,,agreement/candidate-conservation-agreement-with-assurances/spring-pygmy-sunfish.pdf,2012,,,
,Camp Selby Burrowing Crayfish: Candidate Conservation Agreement,Agreement,,agreement/candidate-conservation-agreement/camp-selby-burrowing-crayfish.pdf,2003,,,
,Adams Cave Beetle: Candidate Conservation Agreement with Assurances,Agreement,,agreement/candidate-conservation-agreement-with-assurances/adams-cave-beetle.pdf,2005,,,
,Yellowcheek Darter and Spectacled Pocketbook: Safe Harbor Agreement and Candidate Conservation Agreement with Assurances,Agreement,,agreement/candidate-conservation-agreement-with-assurances/yellowcheek-darter-and-specked-pocketbook.pdf,2007,,,
,Louisiana Pine Snake: Candidate Conservation Agreement,Agreement,,agreement/candidate-conservation-agreement/louisiana-pine-snake.pdf,2011,,,
,Gopher Tortoise: Candidate Conservation Agreement,Agreement,,agreement/candidate-conservation-agreement/gopher-tortoise.pdf,2012,,,
,Elfin Woods Warbler: Candidate Conservation Agreement,Agreement,,agreement/candidate-conservation-agreement/elfin-woods-warbler.pdf,2014,,,
,Yadkin River Goldenrod (Solidago plumosa): Candidate Conservation Agreement,Agreement,,agreement/yadkin-river-goldenrod.pdf,2013,,,
,Camp Blanding Multiple At-Risk Species: Candidate Conservation Agreement with Assurances,Agreement,,agreement/candidate-conservation-agreement-with-assurances/camp-blanding-multiple-at-risk-species-in-north-florida.pdf,2017,,,
,Programmatic Candidate Conservation Agreement with Assurances for Louisiana pinesnake in Louisiana,Agreement,,agreement/candidate-conservation-agreement-with-assurances/programmatic-ccaa-for-louisiana-pinesnake-in-louisiana.pdf,2017,,,
,Miami blue butterfly hurricane response,Best Management Practice,,best-management-practice/miami-blue-butterfly-hurricane-response.pdf,,Ecological Services,,
,Bartram’s scrub-hairstreak and Florida leafwing hurricane response,Best Management Practice,,best-management-practice/bartrams-scrub-and-florida-leafwing-hurricane-response.pdf,,Ecological Services,,
,Key deer hurricane response,Best Management Practice,,best-management-practice/key-deer-hurricane-response.pdf,,Ecological Services,,
,Stock Island tree snail hurricane response,Best Management Practice,,best-management-practice/stock-island-tree-snail-hurricane-response.pdf,,Ecological Services,,
