name,station_type,stations_supported,city,state,email,phone,website,facebook,twitter,mission
Coastal Wildlife Refuge Society,refuge,"Alligator River, Pea Island",Manteo,North Carolina,info@coastalwildliferefuge.com,252-473-1131 x230,coastalwildliferefuge.com,https://www.facebook.com/Friends-of-Alligator-River-and-Pea-Island-National-Wildlife-Refuges-428296430051/,,"<p>The purposes of Coastal Wildlife Refuge Society are threefold:</p>
<ol>
    <li>Generate funds to support programs and activities,</li>
    <li>Assist in the recruitment of refuge volunteers, and</li>
    <li>Provide a voice for the members of Coastal Wildlife Refuge Society at a local, regional and national Level.</li>
</ol>"
"""Ding"" Darling Wildlife Society",refuge,"JN ""Ding"" Darling, Matlacha Pass, Caloosahatchee, Island Bay, Pine Island",Sanibel,Florida,dingdarlingoffice@yahoo.com,239-472-1100 x233,dingdarlingsociety.org,https://www.facebook.com/dingdarling/,,"<p>Ding Darling Wildlife Society, a non-profit Friends of the Refuge organization, supports environmental education and services at J.N. ""Ding"" Darling National Wildlife Refuge.</p>"
Friends and Volunteers of Refuges (FAVOR),refuge,"National Key Deer, Key West, Great White Heron, Crocodile Lake",Big Pine Key,Florida,keydeerbookstore@earthlink.net,305-872-0774,favorfloridakeys.org,https://www.facebook.com/Friends-And-Volunteers-Of-Refuges-FAVOR-Florida-Keys-68347768960/,,"The Mission of FAVOR – Florida Keys is to support the National Wildlife Refuges of the Florida Keys through Education, Volunteerism, Non-Adversarial Advocacy, and Fundraising."
Friends of Bayou Teche NWR,refuge,Bayou Teche,Franklin,Louisiana,btrfriends@yahoo.com,337-923-9718,http://www.bayoutecherefugefriends.org/,https://www.facebook.com/Friends-of-Bayou-Teche-National-Wildlife-Refuge-207690309278930/,,
Friends of Black Bayou,refuge,Black Bayou Lake  ,Monroe,Louisiana,friendsofblackbayou@gmail.com,318-387-1114,friendsofblackbayou.org,,,"<p>Friends of Black Bayou, Inc. is an award-winning, non-profit community organization that supports the protection and enhancement of Black Bayou Lake National Wildlife Refuge located in Ouachita Parish, Louisiana.</p>"
Friends of Bon Secour,refuge,Bon Secour,Gulf Shores,Alabama,http://www.bonsecourfriends.org/,251-540-7720,http://www.bonsecourfriends.org/,https://www.facebook.com/bonsecour/,https://twitter.com/FriendsBSNWR,
Friends of Cahaba River National Wildlife Refuge,refuge,Cahaba River,Blocton,Alabama,cahabafriends@gmail.com,,cahabafriends.com,https://www.facebook.com/Friends-Cahaba-River-NWR-502322456498717/,,
Friends of Carolina Sandhills National Wildlife Refuge,refuge,Carolina Sandhills,McBee,South Carolina,,,http://www.carolinasandhills.org/,https://www.facebook.com/groups/carolinasandhillsfriends/,,
Friends of Cat Island National Wildlife Refuge,refuge,Cat Island,Sibley,Mississippi,,,,,,
"Friends of Crystal River National Wildlife Refuge Complex, Inc.",refuge,"Chassahowitzka, Crystal River, Pinellas, Egmont Key, Passage Key",Crystal River,Florida,info@friendsofcrystalriver.org,352-563-2088 x215,http://www.friendsofcrystalriver.org/index.php,https://www.facebook.com/FriendsofCrystalRiverNWRComplex,,"<p>The purpose of the Friends of the Chassahowitzka National Wildlife Refuge Complex, Inc. is to promote conservation, awareness and appreciation of the Refuge Complex and to provide assistance to the mission and programs of the U.S. Fish and Wildlife Service.</p>"
