type,species,docket,conflictOfInterestForm,notes
,Pearl darter,FWS-R4-ES-2016-0037,,
,Louisiana pinesnake,FWS-R4-ES-2016-0121,,
,Black Warrior waterdog,FWS-R4-ES-2016-0031,,
,Miami tiger beetle,FWS-R4-ES-2015-0164,,
,Florida semaphore cactus and Aboriginal prickly-apple,FWS-R4-ES-2014-0057,,
,Black pinesnake,FWS-R4-ES-2014-0046,,
,Elfin-woods warbler,FWS-R4-ES-2015-0144,,
,Kentucky arrow darter,FWS-R4-ES-2015-0132,,
,Suwannee moccasinshell,FWS-R4-ES-2015-0142,,
,White fringeless orchid,FWS-R4-ES-2015-0129,,
,"Big Pine partridge pea, Wedge spurge, Sand flax, Blodgett's silverbush",FWS-R4-ES-2015-0137,,
,Florida bristle fern,FWS-R4-ES-2014-0044,,
,Georgia rockcress,FWS-R4-ES-2013-0100,,
,"Short's bladderpod, Whorled sunflower, Fleshy-fruit gladecress",FWS-R4-ES-2013-0087,,
,"Florida brickell-bush, Carter's small-flowered flax",FWS-R4-ES-2013-0033,,
,"Agave eggersiana, Gonocalyx concolor",FWS-R4-ES-2013-0040,,
,"Florida leafwing, Bartram's scrub-hairstreak",FWS-R4-ES-2013-0084,,
,"Loggerhead sea turtle, Northwest Atlantic Ocean Distinct Population Segment (DPS)",FWS-R4-ES-2012-0103,,
,"Neosho mucket, Rabbitsfoot",FWS-R4-ES-2013-0007,,
,Spring pygmy sunfish,FWS-R4-ES-2012-0068,,
,Florida bonneted bat,FWS-R4-ES-2012-0078,,
,"Fluted kidneyshell, Slabside pearlymussel",FWS-R4-ES-2012-0004,,
,Magazine mountain shagreen,FWS-R4-ES-2012-0002,,
,Coqui llanero,FWS-R4-ES-2009-0022,,
,"Cumberland darter, Rush darter, Yellowcheek darter, Chucky madtom, Laurel dace",FWS-R4-ES-2010-0027,,
,Dusky gopher frog (previously Mississippi gopher frog),FWS-R4-ES-2010-0024,,
,Miami blue butterfly,FWS-R4-ES-2011-0043,,
,Golden sedge,FWS-R4-ES-2010-0003,,
,Vermilion darter,FWS-R4-ES-2009-0079,,Critical Habitat
